data;modalidade;tempo;km;km/h;m/km;b/c;m/500;swolf;terreno;altimetria;cal;fadiga;temperatura;tipo treino;sozinho;prova
20/08/17;Bicicleta;1:58:59; 40,20   ;20,27;NA;NA;NA;NA;Estrada;561;1191;2;25;continuo;Sozinho;n
21/08/17;Corrida;0:53:13; 8,00   ;;6.38;NA;NA;NA;Estrada;56;621;2;18;continuo;Sozinho;n
23/08/17;Bicicleta;0:41:54; 10,80   ;;NA;NA;NA;NA;Indoor;NA;725;1.5;20;continuo;Sozinho;n
25/08/17;Bicicleta;0:52:23; 15,00   ;;NA;NA;NA;NA;Indoor;NA;1002;1.5;20;continuo;Sozinho;n
26/08/17;Natação;0:28:46; 1,50   ;3,1;NA;NA;NA;NA;Praia;NA;NA;1,5;20;continuo;Acompanhado;n
27/08/17;Bicicleta - BT;1:37:00; 30,55   ;18,9;NA;NA;NA;NA;Estrada;666;878;2.5;30;continuo;Sozinho;n
27/08/17;Corrida - BT;1:04:06; 10,01   ;;6.24;NA;NA;NA;Misto;68;764;2.5;30;continuo;Sozinho;n
31/08/17;Natação;0:44:37; 2,04   ;2,7;NA;NA;NA;NA;Praia;NA;NA;1.5;20;continuo;Acompanhado;n
31/08/17;Bicicleta;2:15:29; 45,44   ;20,1;NA;NA;NA;NA;Estrada;840;1300;2;25;continuo;Acompanhado;n
02/09/17;Corrida;0:55:10; 9,00   ;;6.07;NA;NA;NA;Estrada;159;683;2;30;continuo;Sozinho;n
02/09/17;Natação;0:29:55; 1,62   ;3,2;NA;NA;NA;NA;Praia;NA;NA;2;25;continuo;Sozinho;n
04/09/17;Bicicleta;1:56:58; 43,50   ;22,3;NA;NA;NA;NA;Estrada;446;1324;2;30;continuo;Sozinho;n
04/09/17;Natação;0:23:05; 1,09   ;2,8;NA;NA;NA;NA;Praia;NA;NA;2;25;continuo;Sozinho;n
05/09/17;Corrida;0:42:42; 7,54   ;;5.4;NA;NA;NA;Estrada;72;561;2;25;continuo;Sozinho;n
06/09/17;Bicicleta;0:38:19; 10,00   ;;NA;NA;NA;NA;Indoor;NA;672;2;20;continuo;Sozinho;n
07/09/17;Natação;0:35:18; 1,66   ;2,8;NA;NA;NA;NA;Praia;NA;NA;1.5;20;continuo;Sozinho;n
10/09/17;Triatlo;3:09:56;Olimpico;15,7;NA;NA;NA;NA;Estrada;852;NA;2.5;25;continuo;Sozinho;Prova
11/09/17;Bicicleta;0:37:33; 10,00   ;;NA;NA;NA;NA;Indoor;NA;668;1;20;continuo;Sozinho;n
13/09/17;Bicicleta;0:38:44; 10,00   ;;NA;NA;NA;NA;Indoor;NA;681;1.5;20;continuo;Sozinho;n
13/09/17;Corrida;0.35:17; 4,00   ;;8.49;NA;NA;NA;Trail;88;309;1;25;Descontinuo;Acompanhado;n
14/09/17;Corrida;1:23:35; 13,00   ;9,3;6.26;NA;NA;NA;Trail;321;998;2;20;continuo;Sozinho;n
22/09/17;Corrida;0:34:58; 5,00   ;;7.00;NA;NA;NA;Misto;98;394;2.5;15;continuo;Sozinho;n
24/09/17;Corrida;1:47:49; 15,92   ;;6.46;NA;NA;NA;Trail;443;1222;2;20;continuo;Acompanhado;Prova
29/09/17;Corrida;0:33:16; 6,02   ;10,9;5.32;NA;NA;NA;Estrada;;444;2;20;continuo;Sozinho;n
30/09/17;Corrida;0:37:07; 5,00   ;8,1;7.25;NA;NA;NA;;;376;;;continuo;;
05/10/17;Corrida;0:39:25; 7,02   ;10,7;5.37;NA;NA;NA;Estrada;;522;2;10;continuo;Sozinho;n
16/10/17;Corrida;00:40:00; 7,03   ;10,5;5.41;NA;NA;NA;Estrada;;516;2.5;10;continuo;Sozinho;n
